sample_id,class_id,model_index,original_class_id,source,source_version,signer_id,consent_id,split,raw_path,landmark_path,quality_status,training_status,manual_selectable,risk_tier,source_quality_status,quality_reason,extractor,view,source_fps,source_frames,trim_start,trim_end,used_frames,active_hand,interpolated_hand_frames,raw_hand_frame_ratio,hand_frame_ratio,motion_score
ans_bacak_medyatik_1_web_10fps_p0,bacak,68,,ANSWER,medyatik,ans_medyatik,user_reported_permission,train,yanit_ham/bacak/medyatik_1.mp4,processed/answer_vocabulary/landmark46-v1/ans_bacak_medyatik_1_web_10fps_p0.npz,approved,trainable,true,standard,approved,ok,mediapipe-tasks-web,web-10fps-p0,10.0,32,0,32,32,left,11,0.8125,0.9688,1.3096
ans_bacak_medyatik_1_web_10fps_p50,bacak,68,,ANSWER,medyatik,ans_medyatik,user_reported_permission,train,yanit_ham/bacak/medyatik_1.mp4,processed/answer_vocabulary/landmark46-v1/ans_bacak_medyatik_1_web_10fps_p50.npz,approved,trainable,true,standard,approved,ok,mediapipe-tasks-web,web-10fps-p50,10.0,32,0,30,30,left,3,0.7812,0.8667,1.3214
ans_bacak_medyatik_1_web_25fps_p0,bacak,68,,ANSWER,medyatik,ans_medyatik,user_reported_permission,train,yanit_ham/bacak/medyatik_1.mp4,processed/answer_vocabulary/landmark46-v1/ans_bacak_medyatik_1_web_25fps_p0.npz,approved,trainable,true,standard,approved,ok,mediapipe-tasks-web,web-25fps-p0,25.0,80,0,80,80,left,14,0.825,0.9,2.3572
ans_bas_medyatik_1_web_10fps_p0,bas,54,,ANSWER,medyatik,ans_medyatik,user_reported_permission,train,yanit_ham/bas/medyatik_1.mp4,processed/answer_vocabulary/landmark46-v1/ans_bas_medyatik_1_web_10fps_p0.npz,approved,trainable,true,standard,approved,ok,mediapipe-tasks-web,web-10fps-p0,10.0,27,0,27,27,left,0,1.0,1.0,2.2438
ans_bas_medyatik_1_web_10fps_p50,bas,54,,ANSWER,medyatik,ans_medyatik,user_reported_permission,train,yanit_ham/bas/medyatik_1.mp4,processed/answer_vocabulary/landmark46-v1/ans_bas_medyatik_1_web_10fps_p50.npz,approved,trainable,true,standard,approved,ok,mediapipe-tasks-web,web-10fps-p50,10.0,27,0,27,27,left,2,0.9259,1.0,1.4003
ans_bas_medyatik_1_web_25fps_p0,bas,54,,ANSWER,medyatik,ans_medyatik,user_reported_permission,train,yanit_ham/bas/medyatik_1.mp4,processed/answer_vocabulary/landmark46-v1/ans_bas_medyatik_1_web_25fps_p0.npz,approved,trainable,true,standard,approved,ok,mediapipe-tasks-web,web-25fps-p0,25.0,67,0,67,67,left,11,0.8657,0.9851,1.9196
ans_bel_medyatik_1_web_10fps_p0,bel,67,,ANSWER,medyatik,ans_medyatik,user_reported_permission,train,yanit_ham/bel/medyatik_1.mp4,processed/answer_vocabulary/landmark46-v1/ans_bel_medyatik_1_web_10fps_p0.npz,approved,trainable,true,standard,approved,ok,mediapipe-tasks-web,web-10fps-p0,10.0,28,0,28,28,right,10,0.8571,1.0,2.7673
ans_bel_medyatik_1_web_10fps_p50,bel,67,,ANSWER,medyatik,ans_medyatik,user_reported_permission,train,yanit_ham/bel/medyatik_1.mp4,processed/answer_vocabulary/landmark46-v1/ans_bel_medyatik_1_web_10fps_p50.npz,approved,trainable,true,standard,approved,ok,mediapipe-tasks-web,web-10fps-p50,10.0,28,0,28,28,right,17,0.9286,1.0,3.2231
ans_bel_medyatik_1_web_25fps_p0,bel,67,,ANSWER,medyatik,ans_medyatik,user_reported_permission,train,yanit_ham/bel/medyatik_1.mp4,processed/answer_vocabulary/landmark46-v1/ans_bel_medyatik_1_web_25fps_p0.npz,approved,trainable,true,standard,approved,ok,mediapipe-tasks-web,web-25fps-p0,25.0,70,0,70,70,right,7,0.9429,0.9857,4.1461
ans_bogaz_medyatik_1_web_10fps_p0,bogaz,59,,ANSWER,medyatik,ans_medyatik,user_reported_permission,train,yanit_ham/bogaz/medyatik_1.mp4,processed/answer_vocabulary/landmark46-v1/ans_bogaz_medyatik_1_web_10fps_p0.npz,approved,trainable,true,standard,approved,ok,mediapipe-tasks-web,web-10fps-p0,10.0,32,0,28,28,right,2,0.7188,0.8929,1.9401
ans_bogaz_medyatik_1_web_10fps_p50,bogaz,59,,ANSWER,medyatik,ans_medyatik,user_reported_permission,train,yanit_ham/bogaz/medyatik_1.mp4,processed/answer_vocabulary/landmark46-v1/ans_bogaz_medyatik_1_web_10fps_p50.npz,approved,trainable,true,standard,approved,ok,mediapipe-tasks-web,web-10fps-p50,10.0,32,0,28,28,right,4,0.7188,0.8929,1.4915
