sample_id,class_id,model_index,original_class_id,source,source_version,signer_id,consent_id,split,raw_path,landmark_path,quality_status,training_status,manual_selectable,risk_tier,source_quality_status,quality_reason,extractor,view,source_fps,source_frames,trim_start,trim_end,used_frames,active_hand,interpolated_hand_frames,raw_hand_frame_ratio,hand_frame_ratio,motion_score
ans_agir_meb_1_web_10fps_p0,agir,49,,ANSWER,meb,ans_meb,user_reported_permission,train,yanit_ham/agir/meb_1.mp4,processed/answer_vocabulary/landmark46-v1/ans_agir_meb_1_web_10fps_p0.npz,approved,trainable,true,standard,needs_review,ok,mediapipe-tasks-web,web-10fps-p0,10.0,25,2,15,13,right,1,0.28,0.5385,2.3413
ans_agir_meb_1_web_10fps_p50,agir,49,,ANSWER,meb,ans_meb,user_reported_permission,train,yanit_ham/agir/meb_1.mp4,processed/answer_vocabulary/landmark46-v1/ans_agir_meb_1_web_10fps_p50.npz,approved,trainable,true,standard,needs_review,ok,mediapipe-tasks-web,web-10fps-p50,10.0,24,1,16,15,left,1,0.375,0.6,2.937
ans_agir_meb_1_web_25fps_p0,agir,49,,ANSWER,meb,ans_meb,user_reported_permission,train,yanit_ham/agir/meb_1.mp4,processed/answer_vocabulary/landmark46-v1/ans_agir_meb_1_web_25fps_p0.npz,approved,trainable,true,standard,needs_review,ok,mediapipe-tasks-web,web-25fps-p0,25.0,61,8,35,27,right,3,0.3279,0.7778,3.3817
ans_arka_meb_1_web_10fps_p0,arka,51,,ANSWER,meb,ans_meb,user_reported_permission,train,yanit_ham/arka/meb_1.mp4,processed/answer_vocabulary/landmark46-v1/ans_arka_meb_1_web_10fps_p0.npz,approved,trainable,true,standard,needs_review,ok,mediapipe-tasks-web,web-10fps-p0,10.0,26,3,19,16,left,1,0.3462,0.625,1.6855
ans_arka_meb_1_web_10fps_p50,arka,51,,ANSWER,meb,ans_meb,user_reported_permission,train,yanit_ham/arka/meb_1.mp4,processed/answer_vocabulary/landmark46-v1/ans_arka_meb_1_web_10fps_p50.npz,approved,trainable,true,standard,needs_review,ok,mediapipe-tasks-web,web-10fps-p50,10.0,26,2,19,17,left,1,0.3846,0.6471,2.7175
ans_arka_meb_1_web_25fps_p0,arka,51,,ANSWER,meb,ans_meb,user_reported_permission,train,yanit_ham/arka/meb_1.mp4,processed/answer_vocabulary/landmark46-v1/ans_arka_meb_1_web_25fps_p0.npz,approved,trainable,true,standard,needs_review,ok,mediapipe-tasks-web,web-25fps-p0,25.0,65,11,43,32,left,3,0.3538,0.8125,3.5399
ans_asagi_meb_1_web_10fps_p0,asagi,53,,ANSWER,meb,ans_meb,user_reported_permission,train,yanit_ham/asagi/meb_1.mp4,processed/answer_vocabulary/landmark46-v1/ans_asagi_meb_1_web_10fps_p0.npz,approved,trainable,true,standard,approved,ok,mediapipe-tasks-web,web-10fps-p0,10.0,31,4,26,22,right,2,0.5161,0.7273,3.0776
ans_asagi_meb_1_web_10fps_p50,asagi,53,,ANSWER,meb,ans_meb,user_reported_permission,train,yanit_ham/asagi/meb_1.mp4,processed/answer_vocabulary/landmark46-v1/ans_asagi_meb_1_web_10fps_p50.npz,approved,trainable,true,standard,approved,ok,mediapipe-tasks-web,web-10fps-p50,10.0,30,5,26,21,left,0,0.5,0.7143,3.0451
ans_asagi_meb_1_web_25fps_p0,asagi,53,,ANSWER,meb,ans_meb,user_reported_permission,train,yanit_ham/asagi/meb_1.mp4,processed/answer_vocabulary/landmark46-v1/ans_asagi_meb_1_web_25fps_p0.npz,approved,trainable,true,standard,approved,ok,mediapipe-tasks-web,web-25fps-p0,25.0,76,15,61,46,left,0,0.5263,0.8696,3.7835
ans_ayak_meb_1_web_10fps_p0,ayak,70,,ANSWER,meb,ans_meb,user_reported_permission,train,yanit_ham/ayak/meb_1.mp4,processed/answer_vocabulary/landmark46-v1/ans_ayak_meb_1_web_10fps_p0.npz,approved,trainable,true,standard,needs_review,ok,mediapipe-tasks-web,web-10fps-p0,10.0,30,3,24,21,right,1,0.4667,0.7143,2.8609
ans_ayak_meb_1_web_10fps_p50,ayak,70,,ANSWER,meb,ans_meb,user_reported_permission,train,yanit_ham/ayak/meb_1.mp4,processed/answer_vocabulary/landmark46-v1/ans_ayak_meb_1_web_10fps_p50.npz,approved,trainable,true,standard,approved,ok,mediapipe-tasks-web,web-10fps-p50,10.0,30,2,23,21,left,1,0.5,0.7143,2.9231
ans_ayak_meb_1_web_25fps_p0,ayak,70,,ANSWER,meb,ans_meb,user_reported_permission,train,yanit_ham/ayak/meb_1.mp4,processed/answer_vocabulary/landmark46-v1/ans_ayak_meb_1_web_25fps_p0.npz,approved,trainable,true,standard,needs_review,ok,mediapipe-tasks-web,web-25fps-p0,25.0,75,11,55,44,left,5,0.48,0.8636,3.3668
ans_az_meb_1_web_10fps_p0,az,46,,ANSWER,meb,ans_meb,user_reported_permission,train,yanit_ham/az/meb_1.mp4,processed/answer_vocabulary/landmark46-v1/ans_az_meb_1_web_10fps_p0.npz,approved,trainable,true,standard,needs_review,ok,mediapipe-tasks-web,web-10fps-p0,10.0,22,1,16,15,left,0,0.4091,0.6,1.0166
ans_az_meb_1_web_10fps_p50,az,46,,ANSWER,meb,ans_meb,user_reported_permission,train,yanit_ham/az/meb_1.mp4,processed/answer_vocabulary/landmark46-v1/ans_az_meb_1_web_10fps_p50.npz,approved,trainable,true,standard,needs_review,ok,mediapipe-tasks-web,web-10fps-p50,10.0,22,0,16,16,left,0,0.4545,0.625,1.5533
ans_az_meb_1_web_25fps_p0,az,46,,ANSWER,meb,ans_meb,user_reported_permission,train,yanit_ham/az/meb_1.mp4,processed/answer_vocabulary/landmark46-v1/ans_az_meb_1_web_25fps_p0.npz,approved,trainable,true,standard,needs_review,ok,mediapipe-tasks-web,web-25fps-p0,25.0,55,6,35,29,left,0,0.4182,0.7931,1.6469
ans_bacak_meb_1_web_10fps_p0,bacak,68,,ANSWER,meb,ans_meb,user_reported_permission,train,yanit_ham/bacak/meb_1.mp4,processed/answer_vocabulary/landmark46-v1/ans_bacak_meb_1_web_10fps_p0.npz,approved,trainable,true,standard,approved,ok,mediapipe-tasks-web,web-10fps-p0,10.0,28,0,28,28,right,0,1.0,1.0,1.5252
ans_bacak_meb_1_web_10fps_p50,bacak,68,,ANSWER,meb,ans_meb,user_reported_permission,train,yanit_ham/bacak/meb_1.mp4,processed/answer_vocabulary/landmark46-v1/ans_bacak_meb_1_web_10fps_p50.npz,approved,trainable,true,standard,approved,ok,mediapipe-tasks-web,web-10fps-p50,10.0,27,0,27,27,right,1,1.0,1.0,1.5308
